id time conc struct energy
1 0.020000 1.000000 .   0.00
1 0.040000 1.000000 ..   0.00
1 0.060000 1.000000 ...   0.00
1 0.080000 1.000000 ....   0.00
1 0.100000 1.000000 .....   0.00
1 0.120000 1.000000 ......   0.00
1 0.140000 1.000000 .......   0.00
1 0.160000 1.000000 ........   0.00
1 0.180000 1.000000 .........   0.00
1 0.200000 1.000000 ..........   0.00
1 0.220000 1.000000 ...........   0.00
1 0.240000 1.000000 ............   0.00
1 0.260000 1.000000 .............   0.00
1 0.280000 1.000000 ..............   0.00
1 0.300000 1.000000 ...............   0.00
2 0.300001 0.0047783 ....((((....))))  -3.30
1 0.300001 0.99522 ................   0.00
2 0.30000102 0.0048737 ....((((....))))  -3.30
1 0.30000102 0.99513 ................   0.00
2 0.3000010404 0.0049709 ....((((....))))  -3.30
1 0.3000010404 0.99503 ................   0.00
2 0.3000010612 0.00507 ....((((....))))  -3.30
1 0.3000010612 0.99493 ................   0.00
2 0.3000010824 0.0051712 ....((((....))))  -3.30
1 0.3000010824 0.99483 ................   0.00
2 0.3000011041 0.0052743 ....((((....))))  -3.30
1 0.3000011041 0.99473 ................   0.00
2 0.3000011262 0.0053795 ....((((....))))  -3.30
1 0.3000011262 0.99462 ................   0.00
2 0.3000011487 0.0054868 ....((((....))))  -3.30
1 0.3000011487 0.99451 ................   0.00
2 0.3000011717 0.0055963 ....((((....))))  -3.30
1 0.3000011717 0.9944 ................   0.00
2 0.3000011951 0.0057079 ....((((....))))  -3.30
1 0.3000011951 0.99429 ................   0.00
2 0.300001219 0.0058217 ....((((....))))  -3.30
1 0.300001219 0.99418 ................   0.00
2 0.3000012434 0.0059378 ....((((....))))  -3.30
1 0.3000012434 0.99406 ................   0.00
2 0.3000012682 0.0060562 ....((((....))))  -3.30
1 0.3000012682 0.99394 ................   0.00
2 0.3000012936 0.0061769 ....((((....))))  -3.30
1 0.3000012936 0.99382 ................   0.00
2 0.3000013195 0.0063001 ....((((....))))  -3.30
1 0.3000013195 0.9937 ................   0.00
2 0.3000013459 0.0064256 ....((((....))))  -3.30
1 0.3000013459 0.99357 ................   0.00
2 0.3000013728 0.0065537 ....((((....))))  -3.30
1 0.3000013728 0.99345 ................   0.00
2 0.3000014002 0.0066844 ....((((....))))  -3.30
1 0.3000014002 0.99332 ................   0.00
2 0.3000014282 0.0068176 ....((((....))))  -3.30
1 0.3000014282 0.99318 ................   0.00
2 0.3000014568 0.0069535 ....((((....))))  -3.30
1 0.3000014568 0.99305 ................   0.00
2 0.3000014859 0.007092 ....((((....))))  -3.30
1 0.3000014859 0.99291 ................   0.00
2 0.3000015157 0.0072334 ....((((....))))  -3.30
1 0.3000015157 0.99277 ................   0.00
2 0.300001546 0.0073775 ....((((....))))  -3.30
1 0.300001546 0.99262 ................   0.00
2 0.3000015769 0.0075245 ....((((....))))  -3.30
1 0.3000015769 0.99248 ................   0.00
2 0.3000016084 0.0076744 ....((((....))))  -3.30
1 0.3000016084 0.99233 ................   0.00
2 0.3000016406 0.0078273 ....((((....))))  -3.30
1 0.3000016406 0.99217 ................   0.00
2 0.3000016734 0.0079832 ....((((....))))  -3.30
1 0.3000016734 0.99202 ................   0.00
2 0.3000017069 0.0081422 ....((((....))))  -3.30
1 0.3000017069 0.99186 ................   0.00
2 0.300001741 0.0083044 ....((((....))))  -3.30
1 0.300001741 0.9917 ................   0.00
2 0.3000017758 0.0084697 ....((((....))))  -3.30
1 0.3000017758 0.99153 ................   0.00
2 0.3000018114 0.0086384 ....((((....))))  -3.30
1 0.3000018114 0.99136 ................   0.00
2 0.3000018476 0.0088104 ....((((....))))  -3.30
1 0.3000018476 0.99119 ................   0.00
2 0.3000018845 0.0089858 ....((((....))))  -3.30
1 0.3000018845 0.99101 ................   0.00
2 0.3000019222 0.0091647 ....((((....))))  -3.30
1 0.3000019222 0.99084 ................   0.00
2 0.3000019607 0.0093471 ....((((....))))  -3.30
1 0.3000019607 0.99065 ................   0.00
2 0.3000019999 0.0095332 ....((((....))))  -3.30
1 0.3000019999 0.99047 ................   0.00
2 0.3000020399 0.0097229 ....((((....))))  -3.30
1 0.3000020399 0.99028 ................   0.00
2 0.3000020807 0.0099164 ....((((....))))  -3.30
1 0.3000020807 0.99008 ................   0.00
2 0.3000021223 0.010114 ....((((....))))  -3.30
1 0.3000021223 0.98989 ................   0.00
2 0.3000021647 0.010315 ....((((....))))  -3.30
1 0.3000021647 0.98969 ................   0.00
2 0.300002208 0.01052 ....((((....))))  -3.30
1 0.300002208 0.98948 ................   0.00
2 0.3000022522 0.010729 ....((((....))))  -3.30
1 0.3000022522 0.98927 ................   0.00
2 0.3000022972 0.010943 ....((((....))))  -3.30
1 0.3000022972 0.98906 ................   0.00
2 0.3000023432 0.01116 ....((((....))))  -3.30
1 0.3000023432 0.98884 ................   0.00
